city,index_prev_period,index_curr_period,change_pct,month,year,date
Agadir,119.4,118.3,-0.9,Juillet,2026,2026-07-01
Casablanca,118.9,117.7,-1.0,Juillet,2026,2026-07-01
Fès,121.3,120.3,-0.8,Juillet,2026,2026-07-01
Kénitra,119.6,119.7,0.1,Juillet,2026,2026-07-01
Marrakech,121.1,119.0,-1.7,Juillet,2026,2026-07-01
Oujda,120.5,119.5,-0.8,Juillet,2026,2026-07-01
Rabat,118.2,117.0,-1.0,Juillet,2026,2026-07-01
Tétouan,121.6,120.7,-0.7,Juillet,2026,2026-07-01
Meknès,118.4,117.2,-1.0,Juillet,2026,2026-07-01
Tanger,120.2,118.9,-1.1,Juillet,2026,2026-07-01
Laâyoune,122.4,122.4,0.0,Juillet,2026,2026-07-01
Dakhla,119.0,118.4,-0.5,Juillet,2026,2026-07-01
Guelmim,126.2,124.6,-1.3,Juillet,2026,2026-07-01
Settat,116.7,115.7,-0.9,Juillet,2026,2026-07-01
Safi,123.4,121.7,-1.4,Juillet,2026,2026-07-01
Béni-Mellal,121.3,120.2,-0.9,Juillet,2026,2026-07-01
Al-Hoceima,125.1,124.4,-0.6,Juillet,2026,2026-07-01
Errachidia,120.9,120.5,-0.3,Juillet,2026,2026-07-01
Ensemble,119.9,118.7,-1.0,Juillet,2026,2026-07-01
Agadir,119.8,119.4,-0.3,Juin,2026,2026-06-01
Casablanca,119.2,118.9,-0.3,Juin,2026,2026-06-01
Fès,122.3,121.3,-0.8,Juin,2026,2026-06-01
Kénitra,121.7,119.6,-1.7,Juin,2026,2026-06-01
Marrakech,121.1,121.1,0.0,Juin,2026,2026-06-01
Oujda,120.4,120.5,0.1,Juin,2026,2026-06-01
Rabat,118.6,118.2,-0.3,Juin,2026,2026-06-01
Tétouan,122.8,121.6,-1.0,Juin,2026,2026-06-01
Meknès,118.8,118.4,-0.3,Juin,2026,2026-06-01
Tanger,120.3,120.2,-0.1,Juin,2026,2026-06-01
Laâyoune,123.1,122.4,-0.6,Juin,2026,2026-06-01
Dakhla,119.3,119.0,-0.3,Juin,2026,2026-06-01
Guelmim,126.2,126.2,0.0,Juin,2026,2026-06-01
Settat,117.2,116.7,-0.4,Juin,2026,2026-06-01
Safi,122.9,123.4,0.4,Juin,2026,2026-06-01
Béni-Mellal,123.8,121.3,-2.0,Juin,2026,2026-06-01
Al-Hoceima,126.8,125.1,-1.3,Juin,2026,2026-06-01
Errachidia,122.6,120.9,-1.4,Juin,2026,2026-06-01
Ensemble,120.4,119.9,-0.4,Juin,2026,2026-06-01
Agadir,121.0,119.8,-1.0,Mai,2026,2026-05-01
Casablanca,120.6,119.2,-1.2,Mai,2026,2026-05-01
Fès,123.6,122.3,-1.1,Mai,2026,2026-05-01
Kénitra,121.7,121.7,0.0,Mai,2026,2026-05-01
Marrakech,121.6,121.1,-0.4,Mai,2026,2026-05-01
Oujda,120.7,120.4,-0.2,Mai,2026,2026-05-01
Rabat,119.8,118.6,-1.0,Mai,2026,2026-05-01
Tétouan,123.7,122.8,-0.7,Mai,2026,2026-05-01
Meknès,118.9,118.8,-0.1,Mai,2026,2026-05-01
Tanger,121.8,120.3,-1.2,Mai,2026,2026-05-01
Laâyoune,124.4,123.1,-1.0,Mai,2026,2026-05-01
Dakhla,120.1,119.3,-0.7,Mai,2026,2026-05-01
Guelmim,126.2,126.2,0.0,Mai,2026,2026-05-01
Settat,118.2,117.2,-0.8,Mai,2026,2026-05-01
Safi,125.5,122.9,-2.1,Mai,2026,2026-05-01
Béni-Mellal,125.4,123.8,-1.3,Mai,2026,2026-05-01
Al-Hoceima,128.3,126.8,-1.2,Mai,2026,2026-05-01
Errachidia,124.0,122.6,-1.1,Mai,2026,2026-05-01
Ensemble,121.5,120.4,-0.9,Mai,2026,2026-05-01
Agadir,120.8,121.0,0.2,Avril,2026,2026-04-01
Casablanca,119.6,120.6,0.8,Avril,2026,2026-04-01
Fès,123.2,123.6,0.3,Avril,2026,2026-04-01
Kénitra,121.5,121.7,0.2,Avril,2026,2026-04-01
Marrakech,122.1,121.6,-0.4,Avril,2026,2026-04-01
Oujda,120.0,120.7,0.6,Avril,2026,2026-04-01
Rabat,119.1,119.8,0.6,Avril,2026,2026-04-01
Tétouan,122.6,123.7,0.9,Avril,2026,2026-04-01
Meknès,118.6,118.9,0.3,Avril,2026,2026-04-01
Tanger,121.6,121.8,0.2,Avril,2026,2026-04-01
Laâyoune,122.4,124.4,1.6,Avril,2026,2026-04-01
Dakhla,120.0,120.1,0.1,Avril,2026,2026-04-01
Guelmim,125.9,126.2,0.2,Avril,2026,2026-04-01
Settat,118.6,118.2,-0.3,Avril,2026,2026-04-01
Safi,124.6,125.5,0.7,Avril,2026,2026-04-01
Béni-Mellal,125.9,125.4,-0.4,Avril,2026,2026-04-01
Al-Hoceima,127.2,128.3,0.9,Avril,2026,2026-04-01
Errachidia,123.2,124.0,0.6,Avril,2026,2026-04-01
Ensemble,121.0,121.5,0.4,Avril,2026,2026-04-01
Agadir,118.9,120.8,1.6,Mars,2026,2026-03-01
Casablanca,118.4,119.6,1.0,Mars,2026,2026-03-01
Fès,122.4,123.2,0.7,Mars,2026,2026-03-01
Kénitra,120.4,121.5,0.9,Mars,2026,2026-03-01
Marrakech,120.6,122.1,1.2,Mars,2026,2026-03-01
Oujda,118.8,120.0,1.0,Mars,2026,2026-03-01
Rabat,118.0,119.1,0.9,Mars,2026,2026-03-01
Tétouan,121.4,122.6,1.0,Mars,2026,2026-03-01
Meknès,117.5,118.6,0.9,Mars,2026,2026-03-01
Tanger,120.0,121.6,1.3,Mars,2026,2026-03-01
Laâyoune,121.1,122.4,1.1,Mars,2026,2026-03-01
Dakhla,118.6,120.0,1.2,Mars,2026,2026-03-01
Guelmim,122.6,125.9,2.7,Mars,2026,2026-03-01
Settat,117.8,118.6,0.7,Mars,2026,2026-03-01
Safi,122.9,124.6,1.4,Mars,2026,2026-03-01
Béni-Mellal,124.4,125.9,1.2,Mars,2026,2026-03-01
Al-Hoceima,123.9,127.2,2.7,Mars,2026,2026-03-01
Errachidia,121.0,123.2,1.8,Mars,2026,2026-03-01
Ensemble,119.6,121.0,1.2,Mars,2026,2026-03-01
Agadir,118.3,118.9,0.5,Février,2026,2026-02-01
Casablanca,118.1,118.4,0.3,Février,2026,2026-02-01
