category,index_prev_period,index_curr_period,change_pct,month,year
Produits alimentaires,129.1,128.0,-0.8,Juin,2026
01 - Produits alimentaires et boissons non alcoolisées,128.2,127.2,-0.8,Juin,2026
02 - Boissons alcoolisées et tabac,150.5,150.5,0.0,Juin,2026
Produits non alimentaires,114.8,114.6,-0.2,Juin,2026
03 - Articles d'habillements et chaussures,118.0,117.9,-0.1,Juin,2026
"04 - Logements, eau, électricité et autres combustibles",110.9,110.8,-0.1,Juin,2026
"05 - Meubles, articles de ménages et entretien courant du foyer",113.9,113.9,0.0,Juin,2026
06 - Santé,101.6,101.7,0.1,Juin,2026
07 - Transport,124.7,123.4,-1.0,Juin,2026
08 - Communication,103.6,103.6,0.0,Juin,2026
09 - Loisirs et culture,104.9,104.8,-0.1,Juin,2026
10 - Enseignement,124.4,124.4,0.0,Juin,2026
11 - Restaurants et hôtels,123.5,123.9,0.3,Juin,2026
12 - Biens et services divers,120.7,120.7,0.0,Juin,2026
Ensemble,120.4,119.9,-0.4,Juin,2026
Produits alimentaires,131.9,129.1,-2.1,Mai,2026
01 - Produits alimentaires et boissons non alcoolisées,131.1,128.2,-2.2,Mai,2026
02 - Boissons alcoolisées et tabac,150.5,150.5,0.0,Mai,2026
Produits non alimentaires,114.8,114.8,0.0,Mai,2026
03 - Articles d'habillements et chaussures,118.2,118.0,-0.2,Mai,2026
"04 - Logements, eau, électricité et autres combustibles",110.0,110.9,0.8,Mai,2026
"05 - Meubles, articles de ménages et entretien courant du foyer",113.4,113.9,0.4,Mai,2026
06 - Santé,101.6,101.6,0.0,Mai,2026
07 - Transport,126.1,124.7,-1.1,Mai,2026
08 - Communication,103.7,103.6,-0.1,Mai,2026
09 - Loisirs et culture,105.1,104.9,-0.2,Mai,2026
10 - Enseignement,124.4,124.4,0.0,Mai,2026
11 - Restaurants et hôtels,123.2,123.5,0.2,Mai,2026
12 - Biens et services divers,120.8,120.7,-0.1,Mai,2026
Ensemble,121.5,120.4,-0.9,Mai,2026
Produits alimentaires,130.2,132.7,1.9,Mars,2026
01 - Produits alimentaires et boissons non alcoolisées,129.5,132.0,1.9,Mars,2026
02 - Boissons alcoolisées et tabac,149.3,149.3,0.0,Mars,2026
Produits non alimentaires,112.7,113.4,0.6,Mars,2026
03 - Articles d'habillements et chaussures,117.5,118.1,0.5,Mars,2026
"04 - Logements, eau, électricité et autres combustibles",109.6,109.8,0.2,Mars,2026
"05 - Meubles,articles de ménages et entretien courant du foyer",113.2,113.3,0.1,Mars,2026
06 - Santé,101.5,101.5,0.0,Mars,2026
07 - Transport,115.0,118.4,3.0,Mars,2026
08 - Communication,103.7,103.7,0.0,Mars,2026
09 - Loisirs et culture,105.0,104.7,-0.3,Mars,2026
10 - Enseignement,124.4,124.4,0.0,Mars,2026
11 - Restaurants et hôtels,122.5,122.5,0.0,Mars,2026
12 - Biens et services divers,120.4,120.5,0.1,Mars,2026
Ensemble,119.6,121.0,1.2,Mars,2026
Produits alimentaires,129.2,130.2,0.8,Février,2026
01 - Produits alimentaires et boissons non alcoolisées,128.4,129.5,0.9,Février,2026
02 - Boissons alcoolisées et tabac,149.3,149.3,0.0,Février,2026
Produits non alimentaires,112.4,112.7,0.3,Février,2026
03 - Articles d'habillements et chaussures,117.5,117.5,0.0,Février,2026
"04 - Logements, eau, électricité et autres combustibles",109.6,109.6,0.0,Février,2026
"05 - Meubles, articles de ménages et entretien courant du foyer",113.2,113.2,0.0,Février,2026
06 - Santé,101.5,101.5,0.0,Février,2026
07 - Transport,113.9,115.0,1.0,Février,2026
08 - Communication,103.7,103.7,0.0,Février,2026
09 - Loisirs et culture,104.9,105.0,0.1,Février,2026
10 - Enseignement,124.4,124.4,0.0,Février,2026
11 - Restaurants et hôtels,122.5,122.5,0.0,Février,2026
12 - Biens et services divers,119.1,120.4,1.1,Février,2026
Ensemble,119.0,119.6,0.5,Février,2026
Produits alimentaires,130.3,128.6,-1.3,Novembre,2025
01 - Produits alimentaires et boissons non alcoolisées,129.7,127.9,-1.4,Novembre,2025
02 - Boissons alcoolisées et tabac,145.0,145.0,0.0,Novembre,2025
Produits non alimentaires,112.5,112.5,0.0,Novembre,2025
03 - Articles d'habillements et chaussures,117.6,117.4,-0.2,Novembre,2025
"04 - Logements, eau, électricité et autres combustibles",109.5,109.5,0.0,Novembre,2025
"05 - Meubles, articles de ménages et entretien courant du foyer",113.0,113.1,0.1,Novembre,2025
06 - Santé,101.5,101.5,0.0,Novembre,2025
07 - Transport,115.9,115.8,-0.1,Novembre,2025
08 - Communication,103.8,103.8,0.0,Novembre,2025
09 - Loisirs et culture,105.0,104.9,-0.1,Novembre,2025
10 - Enseignement,124.4,124.4,0.0,Novembre,2025
11 - Restaurants et hôtels,122.2,122.2,0.0,Novembre,2025
12 - Biens et services divers,117.4,117.8,0.3,Novembre,2025
Ensemble,119.5,118.8,-0.6,Novembre,2025
Produits alimentaires,131.8,132.0,0.2,Septembre,2025
01 - Produits alimentaires et boissons non alcoolisées,131.3,131.5,0.2,Septembre,2025
02 - Boissons alcoolisées et tabac,145.0,144.9,-0.1,Septembre,2025
Produits non alimentaires,112.3,112.5,0.2,Septembre,2025
03 - Articles d'habillements et chaussures,117.1,117.6,0.4,Septembre,2025
"04 - Logements, eau, électricité, gaz et autres combustibles",109.4,109.4,0.0,Septembre,2025
"05 - Meubles, articles de ménages et entretien courant du foyer",112.9,113.1,0.2,Septembre,2025
06 - Santé,101.4,101.4,0.0,Septembre,2025
07 - Transport,117.2,116.1,-0.9,Septembre,2025
08 - Communication,103.9,103.8,-0.1,Septembre,2025
09 - Loisirs et culture,104.8,104.9,0.1,Septembre,2025
10 - Enseignement,121.8,124.3,2.1,Septembre,2025
11 - Restaurants et hôtels,122.6,122.5,-0.1,Septembre,2025
12 - Biens et services divers,117.1,117.1,0.0,Septembre,2025
Ensemble,120.0,120.2,0.2,Septembre,2025
Produits alimentaires,131.0,130.4,-0.5,Juillet,2025
01 - Produits alimentaires et boissons non alcoolisées,130.5,129.8,-0.5,Juillet,2025
02 - Boissons alcoolisées et tabac,144.9,145.0,0.1,Juillet,2025
Produits non alimentaires,112.0,112.2,0.2,Juillet,2025
03 - Articles d'habillements et chaussures,117.0,116.9,-0.1,Juillet,2025
"04 - Logements, eau, électricité et autres combustibles",109.3,109.3,0.0,Juillet,2025
"05 - Meubles, articles de ménages et entretien courant du foyer",112.6,113.0,0.4,Juillet,2025
06 - Santé,101.4,101.4,0.0,Juillet,2025
07 - Transport,115.7,116.9,1.0,Juillet,2025
08 - Communication,103.9,103.9,0.0,Juillet,2025
09 - Loisirs et culture,105.0,104.8,-0.2,Juillet,2025
10 - Enseignement,121.8,121.8,0.0,Juillet,2025
11 - Restaurants et hôtels,121.4,121.8,0.3,Juillet,2025
12 - Biens et services divers,116.7,116.9,0.2,Juillet,2025
Ensemble,119.5,119.4,-0.1,Juillet,2025
Produits alimentaires,130.0,131.0,0.8,Juin,2025
01 - Produits alimentaires et boissons non alcoolisées,129.4,130.5,0.9,Juin,2025
02 - Boissons alcoolisées et tabac,144.9,144.9,0.0,Juin,2025
Produits non alimentaires,111.9,112.0,0.1,Juin,2025
03 - Articles d'habillements et chaussures,116.9,117.0,0.1,Juin,2025
"04 - Logements, eau, électricité et autres combustibles",109.3,109.3,0.0,Juin,2025
"05 - Meubles, articles de ménages et entretien courant du foyer",112.6,112.6,0.0,Juin,2025
06 - Santé,101.4,101.4,0.0,Juin,2025
07 - Transport,115.4,115.7,0.3,Juin,2025
08 - Communication,103.9,103.9,0.0,Juin,2025
09 - Loisirs et culture,105.0,105.0,0.0,Juin,2025
10 - Enseignement,121.8,121.8,0.0,Juin,2025
11 - Restaurants et hôtels,120.9,121.4,0.4,Juin,2025
12 - Biens et services divers,116.6,116.7,0.1,Juin,2025
Ensemble,119.0,119.5,0.4,Juin,2025
Produits alimentaires,131.1,130.0,-0.8,Mai,2025
01 - Produits alimentaires et boissons non alcoolisées,130.5,129.4,-0.8,Mai,2025
02 - Boissons alcoolisées et tabac,145.0,144.9,-0.1,Mai,2025
Produits non alimentaires,112.0,111.9,-0.1,Mai,2025
03 - Articles d'habillements et chaussures,117.0,116.9,-0.1,Mai,2025
"04 - Logements, eau, électricité et autres combustibles",109.2,109.3,0.1,Mai,2025
"05 - Meubles, articles de ménages et entretien courant du foyer",112.7,112.6,-0.1,Mai,2025
06 - Santé,101.4,101.4,0.0,Mai,2025
07 - Transport,116.3,115.4,-0.8,Mai,2025
08 - Communication,104.0,103.9,-0.1,Mai,2025
09 - Loisirs et culture,104.9,105.0,0.1,Mai,2025
10 - Enseignement,121.8,121.8,0.0,Mai,2025
11 - Restaurants et hôtels,120.7,120.9,0.2,Mai,2025
12 - Biens et services divers,116.5,116.6,0.1,Mai,2025
Ensemble,119.5,119.0,-0.4,Mai,2025
Produits alimentaires,132.8,131.9,-0.7,Mars,2025
01 - Produits alimentaires et boissons non alcoolisées,132.4,131.4,-0.8,Mars,2025
02 - Boissons alcoolisées et tabac,144.0,144.0,0.0,Mars,2025
Produits non alimentaires,112.2,112.2,0.0,Mars,2025
03 - Articles d'habillements et chaussures,116.5,116.9,0.3,Mars,2025
"04 - Logements, eau, électricité et autres combustibles",108.9,109.1,0.2,Mars,2025
"05 - Meubles,articles de ménages et entretien courant du foyer",112.5,112.6,0.1,Mars,2025
06 - Santé,101.4,101.4,0.0,Mars,2025
07 - Transport,118.2,117.5,-0.6,Mars,2025
08 - Communication,104.1,104.0,-0.1,Mars,2025
09 - Loisirs et culture,105.2,105.1,-0.1,Mars,2025
10 - Enseignement,121.8,121.8,0.0,Mars,2025
11 - Restaurants et hôtels,120.0,120.1,0.1,Mars,2025
12 - Biens et services divers,116.0,116.4,0.3,Mars,2025
Ensemble,120.3,119.9,-0.3,Mars,2025
Produits alimentaires,132.0,132.8,0.6,Février,2025
01 - Produits alimentaires et boissons non alcoolisées,131.6,132.4,0.6,Février,2025
02 - Boissons alcoolisées et tabac,144.0,144.0,0.0,Février,2025
Produits non alimentaires,112.0,112.2,0.2,Février,2025
03 - Articles d'habillements et chaussures,116.4,116.5,0.1,Février,2025
"04 - Logements, eau, électricité et autres combustibles",108.9,108.9,0.0,Février,2025
"05 - Meubles, articles de ménages et entretien courant du foyer",112.3,112.5,0.2,Février,2025
06 - Santé,101.2,101.4,0.2,Février,2025
07 - Transport,117.3,118.2,0.8,Février,2025
08 - Communication,104.1,104.1,0.0,Février,2025
09 - Loisirs et culture,105.3,105.2,-0.1,Février,2025
10 - Enseignement,121.8,121.8,0.0,Février,2025
11 - Restaurants et hôtels,119.8,120.0,0.2,Février,2025
12 - Biens et services divers,115.9,116.0,0.1,Février,2025
Ensemble,119.9,120.3,0.3,Février,2025
Produits alimentaires,130.7,130.2,-0.4,Novembre,2024
01 - Produits alimentaires et boissons non alcoolisées,130.3,129.8,-0.4,Novembre,2024
02 - Boissons alcoolisées et tabac,140.2,140.2,0.0,Novembre,2024
Produits non alimentaires,112.0,112.0,0.0,Novembre,2024
03 - Articles d'habillements et chaussures,116.7,116.6,-0.1,Novembre,2024
"04 - Logements, eau, électricité et autres combustibles",108.7,108.8,0.1,Novembre,2024
"05 - Meubles, articles de ménages et entretien courant du foyer",112.3,112.3,0.0,Novembre,2024
06 - Santé,101.2,101.3,0.1,Novembre,2024
07 - Transport,118.1,117.6,-0.4,Novembre,2024
08 - Communication,104.0,104.1,0.1,Novembre,2024
09 - Loisirs et culture,105.4,105.5,0.1,Novembre,2024
10 - Enseignement,121.8,121.8,0.0,Novembre,2024
11 - Restaurants et hôtels,119.3,119.2,-0.1,Novembre,2024
12 - Biens et services divers,115.7,115.8,0.1,Novembre,2024
Ensemble,119.4,119.2,-0.2,Novembre,2024
Produits alimentaires,131.5,131.4,-0.1,Septembre,2024
01 - Produits alimentaires et boissons non alcoolisées,131.1,131.0,-0.1,Septembre,2024
02 - Boissons alcoolisées et tabac,140.1,140.2,0.1,Septembre,2024
Produits non alimentaires,112.0,112.1,0.1,Septembre,2024
03 - Articles d'habillements et chaussures,116.1,116.5,0.3,Septembre,2024
"04 - Logements, eau, électricité, gaz et autres combustibles",108.7,108.7,0.0,Septembre,2024
"05 - Meubles,articles de ménages et entretien courant du foyer",112.2,112.2,0.0,Septembre,2024
06 - Santé,101.2,101.2,0.0,Septembre,2024
07 - Transport,120.1,119.0,-0.9,Septembre,2024
08 - Communication,104.1,104.0,-0.1,Septembre,2024
09 - Loisirs et culture,105.6,105.4,-0.2,Septembre,2024
10 - Enseignement,119.1,121.7,2.2,Septembre,2024
11 - Restaurants et hôtels,119.1,119.1,0.0,Septembre,2024
12 - Biens et services divers,115.3,115.5,0.2,Septembre,2024
Ensemble,119.7,119.7,0.0,Septembre,2024
Produits alimentaires,129.9,129.2,-0.5,Juillet,2024
01 - Produits alimentaires et boissons non alcoolisées,129.5,128.7,-0.6,Juillet,2024
02 - Boissons alcoolisées et tabac,140.1,140.1,0.0,Juillet,2024
Produits non alimentaires,111.9,112.0,0.1,Juillet,2024
03 - Articles d'habillements et chaussures,116.2,116.1,-0.1,Juillet,2024
"04 - Logements, eau, électricité et autres combustibles",108.6,108.7,0.1,Juillet,2024
"05 - Meubles, articles de ménages et entretien courant du foyer",112.1,112.1,0.0,Juillet,2024
06 - Santé,101.2,101.2,0.0,Juillet,2024
07 - Transport,119.8,120.4,0.5,Juillet,2024
08 - Communication,104.1,104.1,0.0,Juillet,2024
09 - Loisirs et culture,105.6,105.6,0.0,Juillet,2024
10 - Enseignement,119.1,119.1,0.0,Juillet,2024
11 - Restaurants et hôtels,117.0,117.8,0.7,Juillet,2024
12 - Biens et services divers,115.1,115.2,0.1,Juillet,2024
Ensemble,119.0,118.8,-0.2,Juillet,2024
Produits alimentaires,129.3,129.9,0.5,Juin,2024
01 - Produits alimentaires et boissons non alcoolisées,128.9,129.5,0.5,Juin,2024
02 - Boissons alcoolisées et tabac,140.0,140.1,0.1,Juin,2024
Produits non alimentaires,111.6,111.9,0.3,Juin,2024
