category,index_ref_period,index_curr_period,change_pct,cum_index_prior,cum_index_curr,cum_change_pct,month,year,date
Produits alimentaires,130.4,125.6,-3.7,131.3,129.5,-1.4,Juillet,2026,2026-07-01
01 - Produits alimentaires et boissons non alcoolisées,129.8,124.6,-4.0,130.8,128.7,-1.6,Juillet,2026,2026-07-01
02 - Boissons alcoolisées et tabac,145.0,150.5,3.8,144.5,150.0,3.8,Juillet,2026,2026-07-01
Produits non alimentaires,112.2,114.3,1.9,112.1,113.9,1.6,Juillet,2026,2026-07-01
03 - Articles d'habillement et chaussures,116.9,117.7,0.7,116.8,117.8,0.9,Juillet,2026,2026-07-01
"04 - Logement, eau, électricité et autres combustibles",109.3,110.9,1.5,109.1,110.2,1.0,Juillet,2026,2026-07-01
"05 - Meubles, articles de ménage et entretien courant du foyer",113.0,114.0,0.9,112.6,113.6,0.9,Juillet,2026,2026-07-01
06 - Santé,101.4,101.7,0.3,101.4,101.6,0.2,Juillet,2026,2026-07-01
07 - Transport,116.9,121.7,4.1,116.8,120.5,3.2,Juillet,2026,2026-07-01
08 - Communication,103.9,103.7,-0.2,104.0,103.7,-0.3,Juillet,2026,2026-07-01
09 - Loisirs et culture,104.8,104.8,0.0,105.0,104.9,-0.1,Juillet,2026,2026-07-01
10 - Enseignement,121.8,124.4,2.1,121.8,124.4,2.1,Juillet,2026,2026-07-01
11 - Restaurants et hôtels,121.8,124.7,2.4,120.7,123.3,2.2,Juillet,2026,2026-07-01
12 - Biens et services divers,116.9,120.4,3.0,116.4,120.4,3.4,Juillet,2026,2026-07-01
Ensemble,119.4,118.7,-0.6,119.6,120.0,0.3,Juillet,2026,2026-07-01
Produits alimentaires,131.0,128.0,-2.3,131.5,130.2,-1.0,Juin,2026,2026-06-01
01 - Produits alimentaires et boissons non alcoolisées,130.5,127.2,-2.5,131.0,129.4,-1.2,Juin,2026,2026-06-01
02 - Boissons alcoolisées et tabac,144.9,150.5,3.9,144.5,149.9,3.7,Juin,2026,2026-06-01
Produits non alimentaires,112.0,114.6,2.3,112.1,113.8,1.5,Juin,2026,2026-06-01
03 - Articles d'habillement et chaussures,117.0,117.9,0.8,116.8,117.9,0.9,Juin,2026,2026-06-01
"04 - Logement, eau, électricité et autres combustibles",109.3,110.8,1.4,109.1,110.1,0.9,Juin,2026,2026-06-01
"05 - Meubles, articles de ménage et entretien courant du foyer",112.6,113.9,1.2,112.6,113.5,0.8,Juin,2026,2026-06-01
06 - Santé,101.4,101.7,0.3,101.4,101.6,0.2,Juin,2026,2026-06-01
07 - Transport,115.7,123.4,6.7,116.7,120.3,3.1,Juin,2026,2026-06-01
08 - Communication,103.9,103.6,-0.3,104.0,103.7,-0.3,Juin,2026,2026-06-01
09 - Loisirs et culture,105.0,104.8,-0.2,105.1,104.9,-0.2,Juin,2026,2026-06-01
10 - Enseignement,121.8,124.4,2.1,121.8,124.4,2.1,Juin,2026,2026-06-01
11 - Restaurants et hôtels,121.4,123.9,2.1,120.5,123.0,2.1,Juin,2026,2026-06-01
12 - Biens et services divers,116.7,120.7,3.4,116.4,120.4,3.4,Juin,2026,2026-06-01
Ensemble,119.5,119.9,0.3,119.7,120.2,0.4,Juin,2026,2026-06-01
Produits alimentaires,130.0,129.1,-0.7,131.6,130.6,-0.8,Mai,2026,2026-05-01
01 - Produits alimentaires et boissons non alcoolisées,129.4,128.2,-0.9,131.1,129.8,-1.0,Mai,2026,2026-05-01
02 - Boissons alcoolisées et tabac,144.9,150.5,3.9,144.4,149.8,3.7,Mai,2026,2026-05-01
Produits non alimentaires,111.9,114.8,2.6,112.1,113.6,1.3,Mai,2026,2026-05-01
03 - Articles d'habillement et chaussures,116.9,118.0,0.9,116.7,117.9,1.0,Mai,2026,2026-05-01
"04 - Logement, eau, électricité et autres combustibles",109.3,110.9,1.5,109.1,110.0,0.8,Mai,2026,2026-05-01
"05 - Meubles, articles de ménage et entretien courant du foyer",112.6,113.9,1.2,112.5,113.4,0.8,Mai,2026,2026-05-01
06 - Santé,101.4,101.6,0.2,101.4,101.5,0.1,Mai,2026,2026-05-01
